PageNumber,Type,Room Name,Price,Location,Time,Area,Bedrooms,Bathrooms
5,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,240.0,Quận Bình Thạnh,01/11/2024,30,2,1
5,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",45.0,Quận 2 (TP. Thủ Đức),01/11/2024,30,0,0
5,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,40.0,Quận 7,01/11/2024,23,0,0
5,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",55.0,Quận 7,01/11/2024,23,0,0
5,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",60.0,Quận Tân Bình,01/11/2024,40,1,1
5,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,180.0,Quận 5,01/11/2024,30,0,0
5,Nhà,"Cho thuê Tòa nhà 16-18 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh",70.0,Quận 2 (TP. Thủ Đức),01/11/2024,160,7,7
5,Nhà,"Cho Thuê Nhà Văn Phòng Mới, Hiện Đại - Giá 45 Triệu/Tháng",60.0,Quận 2 (TP. Thủ Đức),01/11/2024,72,3,5
5,Nhà,Cho thuê Biệt thự sân vườn khu dân cư Phú Mỹ - Vạn Phát Hưng,50.0,Quận 7,01/11/2024,222,6,6
5,Nhà,"Cho thuê Biệt Thự sân vườn , song lập Hưng Thái , Pmh , Q7 , Hcm",12.0,Quận Bình Thạnh,01/11/2024,328,4,4
5,Nhà,"Cho thuê nhà 216-218 Lê Hồng Phong, Phường 4, Quận 5, Hồ Chí Minh",50.0,Quận 2 (TP. Thủ Đức),01/11/2024,200,8,9
5,Nhà,"Biệt Thự Đảo Kim Cương Hầm 3 Lầu, Thang Máy - Đủ Nội Thất",45.0,Quận 7,01/11/2024,155,4,5
5,Nhà,Cho thuê Mặt Bằng 13x34m. công nhận: 461m2  Mặt tiền Nguyễn Duy Trinh,50.0,Quận 2 (TP. Thủ Đức),01/11/2024,461,1,1
5,Nhà,"Cho thuê biệt thự Phú Mỹ Hưng giá tốt Mỹ Kim I, Quận 7, TP. HCMNhà mới",25.0,Quận Tân Bình,01/11/2024,300,4,4
6,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,220.0,Quận 4,01/11/2024,30,2,1
6,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",28.0,Quận 2 (TP. Thủ Đức),01/11/2024,30,0,0
6,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,30.0,Quận 2 (TP. Thủ Đức),01/11/2024,23,0,0
6,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",41.0,Quận 7,01/11/2024,23,0,0
6,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",55.0,Quận 3,01/11/2024,40,1,1
6,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,180.0,Quận Tân Bình,01/11/2024,30,0,0
6,Nhà,"Cho thuê nhà 287-289 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh",35.0,Quận 2 (TP. Thủ Đức),01/11/2024,144,4,4
6,Nhà,Cho thuê nhà đầy đủ nội thất khu Thảo Điền - Mới tu sửa,45.0,Quận 7,01/11/2024,55,3,3
6,Nhà,"NHÌN KÌA!VILLA bé xinh sạch thơm mát chỉ việc xách vali vào ở liền,,,,",40.0,Quận 7,01/11/2024,117,3,4
6,Nhà,Chính chủ cho thuê Biệt thự sân vườn khu dân cư Phú Mỹ - Vạn Phát Hưng,24.5,Quận 3,01/11/2024,220,5,6
6,Nhà,"Cho thuê nhà 1051-1053 Cách Mạng Tháng Tám, Phường 7, Q.Tân Bình, HCM",250.0,Quận 2 (TP. Thủ Đức),01/11/2024,300,3,3
6,Nhà,Nhà 3 Lầu Gara Oto Full Nội Thất Giá 35 Triệu - Nhà Đẹp,50.0,Quận Phú Nhuận,01/11/2024,115,5,5
6,Nhà,Cho thuê Biệt Thự Khu Dân Cư Phú Mỹ Q7 Hcm nhà y hình,170.0,Quận 3,01/11/2024,400,5,5
6,Nhà,"Cần cho thuê biệt thự Song Lập Mỹ Kim, Phú Mỹ Hưng, Q. 7.",82.0,Quận 2 (TP. Thủ Đức),01/11/2024,210,4,5
7,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,13.0,Quận Phú Nhuận,01/11/2024,30,2,1
7,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",300.0,Quận Tân Bình,01/11/2024,30,0,0
7,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,24.0,Quận 2 (TP. Thủ Đức),01/11/2024,23,0,0
7,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",55.0,Quận 7,01/11/2024,23,0,0
7,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",55.0,Quận 2 (TP. Thủ Đức),01/11/2024,40,1,1
7,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,45.0,Quận 7,01/11/2024,30,0,0
7,Nhà,"Cho thuê nhà mới 28/4 Phan Xích Long, Phường 7, Phú Nhuận, TPHCM.",21.0,Quận Phú Nhuận,01/11/2024,80,2,3
7,Nhà,Villa 3 Lầu Gần Cầu Sài Gòn Giá 24 Triệu,28.0,Quận Bình Thạnh,01/11/2024,136,5,4
7,Nhà,"Cho thuê nhà phố nguyên căn khu MỸ TOÀN 2, PHÚ MỸ HƯNG, Quận 7 Giá Rẻ",55.0,Quận 7,01/11/2024,111,5,7
7,Nhà,Cho thuê nhà 2 lầu mới. (MT) Nguyễn Duy Trinh. Q2. DT: 6x28m. 55tr/th,17.0,Quận Phú Nhuận,01/11/2024,250,3,3
7,Nhà,Cho thuê nhà Phố Hưng Phước Pmh q7 hcm,70.0,Quận 7,01/11/2024,111,5,5
7,Nhà,"Cho thuê nhà 220/5 Nguyễn Trọng Tuyển, Phú Nhuận. Hẻm 8m/ DT 6x22m",150.0,Quận 2 (TP. Thủ Đức),01/11/2024,100,5,3
7,Nhà,Cho thuê nhà đường 9 Bình An - Diện tích 4x26m - 2 Lầu 4 Phòng,105.0,Quận 7,01/11/2024,90,4,3
7,Nhà,Cho thuê Mặt Tiền Vũ Tùng p2 Bình Thạnh/ chợ Bà Chiểu. 4.5*25m 3 lầu,80.0,Quận 7,01/11/2024,120,5,5
8,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",12.0,Quận Bình Thạnh,01/11/2024,40,1,1
8,Nhà,"𝐌Ặ𝐭 𝐭𝐢ề𝐧 𝐓𝐫ầ𝐧 𝐐𝐮ố𝐜 𝐓𝐡ả𝐨, 𝐐𝐮ậ𝐧 𝟑🌸🌸🍑🍑",50.0,Quận 2 (TP. Thủ Đức),01/11/2024,200,0,0
8,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,45.0,Quận 7,01/11/2024,30,2,1
8,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",50.0,Quận 2 (TP. Thủ Đức),01/11/2024,30,0,0
8,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,25.0,Quận Tân Bình,01/11/2024,23,0,0
8,Nhà,"Cho thuê nhà căn góc 1/4bis Trần Bình Trọng, P5, Q. Bình Thạnh/ 2PN",220.0,Quận 4,01/11/2024,80,2,2
8,Nhà,"Cho thuê nhà mặt tiền số: 128A đường Hai Bà Trưng, P. Đa Kao, Quận 1",28.0,Quận 2 (TP. Thủ Đức),01/11/2024,300,3,3
8,Nhà,Biệt Thự Khu Đảo Kim Cương Nội Thất Cao Cấp - Giá 50 Triệu,30.0,Quận 2 (TP. Thủ Đức),01/11/2024,300,4,5
8,Nhà,"Chuyên cho thuê mặt bằng nhà phố khu Hưng Gia - Hưng Phước, PMH Q7",41.0,Quận 7,01/11/2024,111,8,7
8,Nhà,KHIẾP!Nhà THẢO ĐIỀN 300m2 gì mà đẹp dữ thần vậy TRỜI ƠIIIII,55.0,Quận 3,01/11/2024,300,2,2
8,Nhà,"Cho thuê nhà hẻm 8m, 86/2 Phổ quang, Phường 2, Tân Bình/ 4.5x20 3L",180.0,Quận Tân Bình,01/11/2024,110,5,5
8,Nhà,"Cho thuê nhà 287-289 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh",35.0,Quận 2 (TP. Thủ Đức),01/11/2024,144,4,4
8,Nhà,Cho thuê nhà đầy đủ nội thất khu Thảo Điền - Mới tu sửa,45.0,Quận 7,01/11/2024,55,3,3
8,Nhà,"NHÌN KÌA!VILLA bé xinh sạch thơm mát chỉ việc xách vali vào ở liền,,,,",40.0,Quận 7,01/11/2024,117,3,4
9,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,19.0,Quận Tân Bình,01/11/2024,30,2,1
9,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",120.0,Quận 7,01/11/2024,30,0,0
9,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,32.0,Quận 2 (TP. Thủ Đức),01/11/2024,23,0,0
9,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",21.0,Quận Phú Nhuận,01/11/2024,23,0,0
9,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,42.0,Quận 2 (TP. Thủ Đức),01/11/2024,30,0,0
9,Nhà,"Cho thuê mặt tiền 257B Bùi Thị Xuân, P1, Tân Bình gần Trường Sa, 4x18",46.0,Quận 7,01/11/2024,90,2,3
9,Nhà,"Cho thuê biệt thự đẹp Mỹ Quang, 300m2, 5PN, phú mỹ hưng, Quận 7",17.0,Quận 3,01/11/2024,345,5,4
9,Nhà,Cho thuê nhà mới 3 lầu HXH 150/9A Đặng Văn Ngữ p.14 Phú Nhuận,37.0,Quận 7,01/11/2024,250,6,4
9,Nhà,Cho thuê nhà Mặt tiền đường Nguyễn Quý Đức - Diện tích 5x20m,120.0,Quận 11,01/11/2024,100,4,4
9,Nhà,"Chủ nhà cần cho thuê gấp nhà phố Hưng Gia, góc công viên.",37.0,Quận 7,01/11/2024,111,4,4
9,Nhà,"Cho thuê nhà hẻm xe hơi 16/19 Nguyễn Thiện Thuật, Quận 3",19.0,Quận Bình Thạnh,01/11/2024,190,4,4
9,Nhà,"Cho thuê nhà GÓC 2MT đường Trần Hưng Đạo, Phường 1, Quận 5, Hồ",320.0,Quận 1,01/11/2024,169,3,3
10,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,82.0,Quận 7,01/11/2024,30,2,1
10,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",35.0,Quận 7,01/11/2024,30,0,0
10,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,25.0,Quận 1,01/11/2024,23,0,0
10,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",75.0,Quận 7,01/11/2024,40,1,1
10,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,40.0,Quận 7,01/11/2024,30,0,0
10,Nhà,"Nhà xây chuẩn KS-CHDV 12 phòng khu Hưng Gia, Phú Mỹ Hưng giá thuê tốt",34.5,Quận 2 (TP. Thủ Đức),01/11/2024,111,12,12
10,Nhà,"Cần cho thuê gấp biệt thự Mỹ Thái 1, 2, 3, khu vực trường Canada",16.0,Quận Phú Nhuận,01/11/2024,126,4,4
10,Nhà,"Cho thuê Mặt Tiền 7A Phan Ngữ, P.Đa Kao, Q.1/ đầy đủ nội thất,",255.0,Quận 1,01/11/2024,70,4,5
10,Nhà,"Cho thuê nhà mặt tiền 126  Võ Văn Ngân, Phường Bình Thọ, Quận Thủ Đức",14.0,Quận Tân Phú,01/11/2024,352,6,6
10,Nhà,"Cho thuê nhà phố mặt tiền Đường Số 6, khu Hưng Phước 4, Phú Mỹ Hưng Gi",40.0,Quận 7,01/11/2024,111,3,2
10,Nhà,"Cho thuê Biệt thự sân vườn khu dân cư Phú Mỹ - Vạn Phát Hưng , quận 7",35.0,Quận 7,01/11/2024,220,5,6
10,Nhà,VILLA kính trắng xinh trúc mọc đầu đình có 1-0-2 ạ,70.0,Quận 2 (TP. Thủ Đức),01/11/2024,120,3,3
10,Nhà,"Mặt Tiền 28A Đào Duy Từ, phường 17, Phú Nhuận Gần chợ Phú Nhuận",15.0,Quận Phú Nhuận,01/11/2024,80,2,3
10,Nhà,"Cho thuê nhà 120Bis Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí M",240.0,Quận Bình Thạnh,01/11/2024,320,2,2
11,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,12.0,Quận Tân Phú,01/11/2024,30,2,1
11,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",43.0,Quận 7,01/11/2024,30,0,0
11,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,35.0,Quận 7,01/11/2024,23,0,0
11,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",15.0,Quận 2 (TP. Thủ Đức),01/11/2024,23,0,0
11,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",20.0,Quận Phú Nhuận,01/11/2024,40,1,1
11,Nhà,"$ Cho Thuê Nhà Đẹp- Hẻm Xe Máy-Tân Sơn Nhì,P TSN,4x12m,2L,3PN,12Tr$",23.0,Quận Tân Phú,01/11/2024,48,3,3
11,Nhà,Biệt thự Phú Mỹ Vạn Phát Hưng Quận 7 liền kề Phú Mỹ Hưng - giá rẻ,30.0,Quận 1,01/11/2024,220,5,6
11,Nhà,"Cho thuê nhà + Lô Đất, đường Phạm Hữu Lầu ,Q7 , P. Phú Mỹ, Quận 7.",55.0,Quận 3,01/11/2024,100,4,4
11,Nhà,💖Nhà NGUYÊN CĂN Q2 1T1L xinh như minh tinh mà giá như dân thường,65.0,Quận 2 (TP. Thủ Đức),01/11/2024,55,2,1
11,Nhà,"Cho thuê tầng trệt Chung cư Hoa Sứ, Phường 7, Quận Phú Nhuận",19.0,Quận Tân Phú,01/11/2024,100,2,2
11,Nhà,"Cho thuê nhà số 16-18-20 đường Thủ Khoa Huân, Phường Bến Thành, Quận 1",50.0,Quận 2 (TP. Thủ Đức),01/11/2024,329,3,3
11,Nhà,"$ Cho Thuê Nhà ĐẸP- Mặt Tiền Phan Đình Phùng, P Tân Thành, 2L, 23Tr $",17.0,Quận 3,01/11/2024,80,4,4
11,Nhà,"Cho thuê nhà 13C Nguyễn Văn Mai, Phường 8, Quận 3, Hồ Chí Minh",55.0,Quận 7,01/11/2024,154,3,6
12,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,35.0,Quận 2 (TP. Thủ Đức),01/11/2024,30,2,1
12,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",16.0,Quận Tân Phú,01/11/2024,30,0,0
12,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,35.0,Quận 7,01/11/2024,23,0,0
12,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",39.0,Quận 2 (TP. Thủ Đức),01/11/2024,23,0,0
12,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",15.0,Quận 10,01/11/2024,40,1,1
12,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,45.0,Quận 7,01/11/2024,30,0,0
12,Nhà,Cho thuê (toà Văn Phòng) 5x20m. Hầm + 3 lầu. mặt tiền - Trần Lựu - Q2,30.0,Quận 7,01/11/2024,350,5,5
12,Nhà,"$ Cho Thuê Nhà Đẹp- HXT- FULL NỘI THẤT- Lý Thánh Tông, 2L,4PN, 16Tr $",49.0,Quận 2 (TP. Thủ Đức),01/11/2024,60,4,3
12,Nhà,"Cho thuê gấp biệt thự Hưng Thái, PMH, Q7, giá 35 triệu",20.0,Quận 3,01/11/2024,126,3,3
12,Nhà,VILLA sân vườn xinh lung linh TT THẢO ĐIỀN 250M2,150.0,Quận 7,01/11/2024,250,4,4
12,Nhà,"Cho thuê nhà 457/4 Cách Mạng Tháng Tám, phường 13, Quận10",110.0,Quận 7,01/11/2024,70,2,2
