3,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,14 triệu 500 nghìn,"Quận Bình Thạnh, TPHCM",Hôm nay,23 m2,0 PN,0 WC
3,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",90 triệu,"Quận Thủ Đức (TP. Thủ Đức), TPHCM",Hôm nay,23 m2,0 PN,0 WC
3,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",110 triệu,"Quận 7, TPHCM",Hôm nay,40 m2,1 PN,1 WC
3,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,60 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,30 m2,0 PN,0 WC
3,Nhà,"Cho thuê biệt thự tại khu dân cư Phú Mỹ - Vạn Phát Hưng, Quận 7",40 triệu,"Quận 7, TPHCM",Hôm nay,220 m2,6 PN,6 WC
3,Nhà,"Cần cho thuê nhà phố kinh doanh, tại Phú Mỹ Hưng, Q7.",19 triệu,"Quận 10, TPHCM",Hôm nay,111 m2,5 PN,6 WC
3,Nhà,"Cho thuê Nhà số 801/7 Xô Viết Nghệ Tĩnh, P.26, Bình Thạnh. - 1Lầu 2PN",250 triệu,"Quận Bình Thạnh, TPHCM",Hôm nay,150 m2,2 PN,2 WC
3,Nhà,"Cho thuê nhà GÓC 2MT 234 Tô Ngọc Vân, Phường Linh Đông, Quận Thủ Đức",125 triệu,"Quận 7, TPHCM",Hôm nay,308 m2,1 PN,1 WC
3,Nhà,"Biệt thự đơn lập có hồ bơi, 5PN, 300m2 ngay trường Đinh Thiện Lý, Q.7",30 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,300 m2,5 PN,5 WC
3,Nhà,Villa Cao Cấp - Hầm 4 Lầu - Nội Thất Cao Cấp - Giá Rẻ Hơn Thị Trường,49 triệu,"Quận 7, TPHCM",Hôm nay,200 m2,6 PN,5 WC
3,Nhà,"Cho thuê gấp biệt thự Nam Thông, Phú Mỹ Hưng, Quận 7, Tp HCM.",17 triệu,"Quận Bình Thạnh, TPHCM",Hôm nay,3000 m2,5 PN,5 WC
3,Nhà,"Cho thuê nhà 407/7 Sư Vạn Hạnh, P12, Quận 10 , ngang 4m x20m",200 triệu,"Quận Gò Vấp, TPHCM",Hôm nay,80 m2,2 PN,2 WC
3,Nhà,"Cho thuê nhà Góc 2MT 183 Nơ Trang Long, Phường 12, Q.Bình Thạnh,HCM",65 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,200 m2,7 PN,7 WC
4,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,45 triệu,"Quận 7, TPHCM",Hôm nay,30 m2,2 PN,1 WC
4,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",33 triệu 200 nghìn,"Quận 7, TPHCM",Hôm nay,30 m2,0 PN,0 WC
4,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,20 triệu,"Quận 3, TPHCM",Hôm nay,23 m2,0 PN,0 WC
4,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",130 triệu,"Quận Tân Bình, TPHCM",Hôm nay,23 m2,0 PN,0 WC
4,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",40 triệu,"Quận 7, TPHCM",Hôm nay,40 m2,1 PN,1 WC
4,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,14 triệu 500 nghìn,"Quận Phú Nhuận, TPHCM",Hôm nay,30 m2,0 PN,0 WC
4,Nhà,"Cho thuê nhà phố Hưng Gia - Hưng Phước, Phú Mỹ Hưng, Quận 7",250 triệu,"Quận 1, TPHCM",Hôm nay,111 m2,5 PN,6 WC
4,Nhà,"Cần cho thuê nguyên căn nhà phố Hưng Gia, Hưng Phước , gía 33.2 tr .",146 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,111 m2,5 PN,6 WC
4,Nhà,"Cho thuê nhà 315/5A Lê Văn Sỹ, Phường 13, Quận 3, chính chủ, rộng 4m",25 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,250 m2,4 PN,3 WC
4,Nhà,"Cho thuê nhà mặt tiền số 109-111 đường Bàu Cát, Phường 14, Q.Tân Bình",42 triệu,"Quận 7, TPHCM",Hôm nay,144 m2,6 PN,6 WC
4,Nhà,"Cho thuê biệt thự song lập, KDC Phú Mỹ Vạn Phát Hưng , quận 7.",14 triệu 500 nghìn,"Quận Phú Nhuận, TPHCM",Hôm nay,220 m2,5 PN,5 WC
4,Nhà,Cho thuê nhà 94A/7 Trần Khắc Chân - Phường 9 - Q.Phú Nhuận/ 4pn,330 triệu,"Quận 1, TPHCM",Hôm nay,60 m2,4 PN,3 WC
4,Nhà,"Cho thuê nhà 187A Cống Quỳnh, P.Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",28 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,220 m2,2 PN,2 WC
4,Nhà,Cho Thuê Tòa Văn Phòng Trần Não 7x30m Sàn Trống Suốt - Giá 146 Triệu,60 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,210 m2,0 PN,3 WC
4,Nhà,S.O.S. Nhà phố Q2 mới xây 100% đẹp hú hồn chim én 25TR BÀ CON ƠIII,28 triệu,"Quận Tân Bình, TPHCM",Hôm nay,100 m2,3 PN,4 WC
5,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,240 triệu,"Quận Bình Thạnh, TPHCM",Hôm nay,30 m2,2 PN,1 WC
5,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",45 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,30 m2,0 PN,0 WC
5,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,40 triệu,"Quận 7, TPHCM",Hôm nay,23 m2,0 PN,0 WC
5,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",55 triệu,"Quận 7, TPHCM",Hôm nay,23 m2,0 PN,0 WC
5,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",60 triệu,"Quận Tân Bình, TPHCM",Hôm nay,40 m2,1 PN,1 WC
5,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,180 triệu,"Quận 5, TPHCM",Hôm nay,30 m2,0 PN,0 WC
5,Nhà,"Cho thuê Tòa nhà 16-18 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh",70 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,160 m2,7 PN,7 WC
5,Nhà,"Cho Thuê Nhà Văn Phòng Mới, Hiện Đại - Giá 45 Triệu/Tháng",60 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,72 m2,3 PN,5 WC
5,Nhà,Cho thuê Biệt thự sân vườn khu dân cư Phú Mỹ - Vạn Phát Hưng,50 triệu,"Quận 7, TPHCM",Hôm nay,222 m2,6 PN,6 WC
5,Nhà,"Cho thuê Biệt Thự sân vườn , song lập Hưng Thái , Pmh , Q7 , Hcm",12 triệu,"Quận Bình Thạnh, TPHCM",Hôm nay,328 m2,4 PN,4 WC
5,Nhà,"Toà Nhà 46A Nguyễn Minh Hoàng, Phường 12, Tân Bình (Khu K300)/ 7x15 6L",400 triệu,"Quận 1, TPHCM",Hôm nay,500 m2,7 PN,7 WC
5,Nhà,"Cho thuê nhà 216-218 Lê Hồng Phong, Phường 4, Quận 5, Hồ Chí Minh",50 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,200 m2,8 PN,9 WC
5,Nhà,"Biệt Thự Đảo Kim Cương Hầm 3 Lầu, Thang Máy - Đủ Nội Thất",45 triệu,"Quận 7, TPHCM",Hôm nay,155 m2,4 PN,5 WC
5,Nhà,Cho thuê Mặt Bằng 13x34m. công nhận: 461m2  Mặt tiền Nguyễn Duy Trinh,50 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,461 m2,1 PN,1 WC
5,Nhà,"Cho thuê biệt thự Phú Mỹ Hưng giá tốt Mỹ Kim I, Quận 7, TP. HCMNhà mới",25 triệu,"Quận Tân Bình, TPHCM",Hôm nay,300 m2,4 PN,4 WC
6,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,220 triệu,"Quận 4, TPHCM",Hôm nay,30 m2,2 PN,1 WC
6,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",28 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,30 m2,0 PN,0 WC
6,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,30 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,23 m2,0 PN,0 WC
6,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",41 triệu,"Quận 7, TPHCM",Hôm nay,23 m2,0 PN,0 WC
6,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",55 triệu,"Quận 3, TPHCM",Hôm nay,40 m2,1 PN,1 WC
6,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,180 triệu,"Quận Tân Bình, TPHCM",Hôm nay,30 m2,0 PN,0 WC
6,Nhà,"Cho thuê nhà 287-289 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh",35 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,144 m2,4 PN,4 WC
6,Nhà,Cho thuê nhà đầy đủ nội thất khu Thảo Điền - Mới tu sửa,45 triệu,"Quận 7, TPHCM",Hôm nay,55 m2,3 PN,3 WC
6,Nhà,"NHÌN KÌA!VILLA bé xinh sạch thơm mát chỉ việc xách vali vào ở liền,,,,",40 triệu,"Quận 7, TPHCM",Hôm nay,117 m2,3 PN,4 WC
6,Nhà,Chính chủ cho thuê Biệt thự sân vườn khu dân cư Phú Mỹ - Vạn Phát Hưng,24 triệu 500 nghìn,"Quận 3, TPHCM",Hôm nay,220 m2,5 PN,6 WC
6,Nhà,"Cho thuê Tòa nhà Mặt Tiền 236 Cách Mạng Tháng Tám, P10, Quận 3",449 triệu 999 nghìn,"Quận 3, TPHCM",Hôm nay,450 m2,8 PN,5 WC
6,Nhà,"Cho thuê nhà 1051-1053 Cách Mạng Tháng Tám, Phường 7, Q.Tân Bình, HCM",250 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,300 m2,3 PN,3 WC
6,Nhà,Nhà 3 Lầu Gara Oto Full Nội Thất Giá 35 Triệu - Nhà Đẹp,50 triệu,"Quận Phú Nhuận, TPHCM",Hôm nay,115 m2,5 PN,5 WC
6,Nhà,Cho thuê Biệt Thự Khu Dân Cư Phú Mỹ Q7 Hcm nhà y hình,170 triệu,"Quận 3, TPHCM",Hôm nay,400 m2,5 PN,5 WC
6,Nhà,"Cần cho thuê biệt thự Song Lập Mỹ Kim, Phú Mỹ Hưng, Q. 7.",82 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,210 m2,4 PN,5 WC
7,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,13 triệu,"Quận Phú Nhuận, TPHCM",Hôm nay,30 m2,2 PN,1 WC
7,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",300 triệu,"Quận Tân Bình, TPHCM",Hôm nay,30 m2,0 PN,0 WC
7,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,24 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,23 m2,0 PN,0 WC
7,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",55 triệu,"Quận 7, TPHCM",Hôm nay,23 m2,0 PN,0 WC
7,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",55 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,40 m2,1 PN,1 WC
7,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,45 triệu,"Quận 7, TPHCM",Hôm nay,30 m2,0 PN,0 WC
7,Nhà,"Cho thuê nhà mới 28/4 Phan Xích Long, Phường 7, Phú Nhuận, TPHCM.",21 triệu,"Quận Phú Nhuận, TPHCM",Hôm nay,80 m2,2 PN,3 WC
7,Nhà,"Cho thuê Đất 2MT 8 Phan Huy Ích, Phường 15, Q.Tân Bình, Hồ Chí Minh",25 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,2057 m2,1 PN,1 WC
7,Nhà,Villa 3 Lầu Gần Cầu Sài Gòn Giá 24 Triệu,28 triệu,"Quận Bình Thạnh, TPHCM",Hôm nay,136 m2,5 PN,4 WC
7,Nhà,"Cho thuê nhà phố nguyên căn khu MỸ TOÀN 2, PHÚ MỸ HƯNG, Quận 7 Giá Rẻ",55 triệu,"Quận 7, TPHCM",Hôm nay,111 m2,5 PN,7 WC
7,Nhà,Cho thuê nhà 2 lầu mới. (MT) Nguyễn Duy Trinh. Q2. DT: 6x28m. 55tr/th,17 triệu,"Quận Phú Nhuận, TPHCM",Hôm nay,250 m2,3 PN,3 WC
7,Nhà,Cho thuê nhà Phố Hưng Phước Pmh q7 hcm,70 triệu,"Quận 7, TPHCM",Hôm nay,111 m2,5 PN,5 WC
7,Nhà,"Cho thuê nhà 220/5 Nguyễn Trọng Tuyển, Phú Nhuận. Hẻm 8m/ DT 6x22m",150 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,100 m2,5 PN,3 WC
7,Nhà,Cho thuê nhà đường 9 Bình An - Diện tích 4x26m - 2 Lầu 4 Phòng,105 triệu,"Quận 7, TPHCM",Hôm nay,90 m2,4 PN,3 WC
7,Nhà,Cho thuê Mặt Tiền Vũ Tùng p2 Bình Thạnh/ chợ Bà Chiểu. 4.5*25m 3 lầu,80 triệu,"Quận 7, TPHCM",Hôm nay,120 m2,5 PN,5 WC
8,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",12 triệu,"Quận Bình Thạnh, TPHCM",Hôm nay,40 m2,1 PN,1 WC
8,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,400 triệu,"Quận 1, TPHCM",Hôm nay,30 m2,0 PN,0 WC
8,Nhà,"𝐌Ặ𝐭 𝐭𝐢ề𝐧 𝐓𝐫ầ𝐧 𝐐𝐮ố𝐜 𝐓𝐡ả𝐨, 𝐐𝐮ậ𝐧 𝟑🌸🌸🍑🍑",50 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,200 m2,0 PN,0 WC
8,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,45 triệu,"Quận 7, TPHCM",Hôm nay,30 m2,2 PN,1 WC
8,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",50 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,30 m2,0 PN,0 WC
8,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,25 triệu,"Quận Tân Bình, TPHCM",Hôm nay,23 m2,0 PN,0 WC
8,Nhà,"Cho thuê nhà căn góc 1/4bis Trần Bình Trọng, P5, Q. Bình Thạnh/ 2PN",220 triệu,"Quận 4, TPHCM",Hôm nay,80 m2,2 PN,2 WC
8,Nhà,"Cho thuê nhà mặt tiền số: 128A đường Hai Bà Trưng, P. Đa Kao, Quận 1",28 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,300 m2,3 PN,3 WC
8,Nhà,Biệt Thự Khu Đảo Kim Cương Nội Thất Cao Cấp - Giá 50 Triệu,30 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,300 m2,4 PN,5 WC
8,Nhà,"Chuyên cho thuê mặt bằng nhà phố khu Hưng Gia - Hưng Phước, PMH Q7",41 triệu,"Quận 7, TPHCM",Hôm nay,111 m2,8 PN,7 WC
8,Nhà,KHIẾP!Nhà THẢO ĐIỀN 300m2 gì mà đẹp dữ thần vậy TRỜI ƠIIIII,55 triệu,"Quận 3, TPHCM",Hôm nay,300 m2,2 PN,2 WC
8,Nhà,"Cho thuê nhà hẻm 8m, 86/2 Phổ quang, Phường 2, Tân Bình/ 4.5x20 3L",180 triệu,"Quận Tân Bình, TPHCM",Hôm nay,110 m2,5 PN,5 WC
8,Nhà,"Cho thuê nhà 287-289 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh",35 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,144 m2,4 PN,4 WC
8,Nhà,Cho thuê nhà đầy đủ nội thất khu Thảo Điền - Mới tu sửa,45 triệu,"Quận 7, TPHCM",Hôm nay,55 m2,3 PN,3 WC
8,Nhà,"NHÌN KÌA!VILLA bé xinh sạch thơm mát chỉ việc xách vali vào ở liền,,,,",40 triệu,"Quận 7, TPHCM",Hôm nay,117 m2,3 PN,4 WC
9,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,19 triệu,"Quận Tân Bình, TPHCM",Hôm nay,30 m2,2 PN,1 WC
9,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",120 triệu,"Quận 7, TPHCM",Hôm nay,30 m2,0 PN,0 WC
9,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,32 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,23 m2,0 PN,0 WC
9,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",21 triệu,"Quận Phú Nhuận, TPHCM",Hôm nay,23 m2,0 PN,0 WC
9,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",1 tỷ 350 triệu,"Quận Tân Bình, TPHCM",Hôm nay,40 m2,1 PN,1 WC
9,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,42 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,30 m2,0 PN,0 WC
9,Nhà,"Cho thuê mặt tiền 257B Bùi Thị Xuân, P1, Tân Bình gần Trường Sa, 4x18",46 triệu,"Quận 7, TPHCM",Hôm nay,90 m2,2 PN,3 WC
9,Nhà,"Cho thuê biệt thự đẹp Mỹ Quang, 300m2, 5PN, phú mỹ hưng, Quận 7",17 triệu,"Quận 3, TPHCM",Hôm nay,345 m2,5 PN,4 WC
9,Nhà,Villa Phố Căn Góc - Phường An Phú - Giá 32 Triệu/Tháng,351 triệu,"Quận 5, TPHCM",Hôm nay,60 m2,5 PN,4 WC
9,Nhà,Cho thuê nhà mới 3 lầu HXH 150/9A Đặng Văn Ngữ p.14 Phú Nhuận,37 triệu,"Quận 7, TPHCM",Hôm nay,250 m2,6 PN,4 WC
9,Nhà,"Cho thuê nhà mặt tiền số 655-657-659 Lạc Long Quân, P.10, Q.Tân Bình",25 triệu,"Quận 10, TPHCM",Hôm nay,1000 m2,6 PN,6 WC
9,Nhà,Cho thuê nhà Mặt tiền đường Nguyễn Quý Đức - Diện tích 5x20m,120 triệu,"Quận 11, TPHCM",Hôm nay,100 m2,4 PN,4 WC
9,Nhà,"Chủ nhà cần cho thuê gấp nhà phố Hưng Gia, góc công viên.",37 triệu,"Quận 7, TPHCM",Hôm nay,111 m2,4 PN,4 WC
9,Nhà,"Cho thuê nhà hẻm xe hơi 16/19 Nguyễn Thiện Thuật, Quận 3",19 triệu,"Quận Bình Thạnh, TPHCM",Hôm nay,190 m2,4 PN,4 WC
